Index	GLobal_Citing-ID	Global_Cited-ID	Citation_Content(GC)	Intention_Label	Citing_Paper_Title	Cited_Num_list	Cited_References_Title
16	587	[15]	The resulting compact, low-dimensional vector representations can be then taken as features to any vector-based machine learning algorithms. // This paves the way for a wide range of network analytic tasks to be easily and efficiently tackled in the new vector space, such as node classification [10], [11], link prediction [12], [13], clustering [2], recommendation [14], ==[15]==, similarity search [16], and visualization [17]. // Using vector representation to represent complex networks has now been gradually advanced to many other domains, such as point-of-interest recommendation in urban computing [15], and knowledge graph search [18] in knowledge engineering and database systems.	b	Network Representation Learning- A Survey	[15]	['[15]  M. Xie, H. Yin, H. Wang, F. Xu, W. Chen, and S. Wang, “Learning graph-based POI embedding for location-based recommendation,” in Proceedings of the 25th ACM International Conference on Information and Knowledge Management, 2016, pp. 15–24. ']
17	587	[16]	The resulting compact, low-dimensional vector representations can be then taken as features to any vector-based machine learning algorithms. // This paves the way for a wide range of network analytic tasks to be easily and efficiently tackled in the new vector space, such as node classification [10], [11], link prediction [12], [13], clustering [2], recommendation [14], [15], similarity search ==[16]==, and visualization [17]. // Using vector representation to represent complex networks has now been gradually advanced to many other domains, such as point-of-interest recommendation in urban computing [15], and knowledge graph search [18] in knowledge engineering and database systems.	b	Network Representation Learning- A Survey	[16]	['[16]  Z. Liu, V. W. Zheng, Z. Zhao, F. Zhu, K. C.-C. Chang, M. Wu, and J. Ying, “Distance-aware DAG embedding for proximity search on heterogeneous graphs,” in Proceedings of the 32nd AAAI Conference on Artificial Intelligence, 2018, pp. 2355–2362. ']
18	587	[17]	The resulting compact, low-dimensional vector representations can be then taken as features to any vector-based machine learning algorithms. // This paves the way for a wide range of network analytic tasks to be easily and efficiently tackled in the new vector space, such as node classification [10], [11], link prediction [12], [13], clustering [2], recommendation [14], [15], similarity search [16], and visualization ==[17]==. // Using vector representation to represent complex networks has now been gradually advanced to many other domains, such as point-of-interest recommendation in urban computing [15], and knowledge graph search [18] in knowledge engineering and database systems.	b	Network Representation Learning- A Survey	[17]	['[17]  J. Tang, J. Liu, and Q. Mei, “Visualizing large-scale and highdimensional data,” in Proceedings of the 25th International Conference on World Wide Web, 2016, pp. 287–297. ']
19	587	[15]	This paves the way for a wide range of network analytic tasks to be easily and efficiently tackled in the new vector space, such as node classification [10], [11], link prediction [12], [13], clustering [2], recommendation [14], [15], similarity search [16], and visualization [17]. // Using vector representation to represent complex networks has now been gradually advanced to many other domains, such as point-of-interest recommendation in urban computing ==[15]==, and knowledge graph search [18] in knowledge engineering and database systems. // Challenges.	b	Network Representation Learning- A Survey	[15]	['[15]  M. Xie, H. Yin, H. Wang, F. Xu, W. Chen, and S. Wang, “Learning graph-based POI embedding for location-based recommendation,” in Proceedings of the 25th ACM International Conference on Information and Knowledge Management, 2016, pp. 15–24. ']
20	587	[18]	This paves the way for a wide range of network analytic tasks to be easily and efficiently tackled in the new vector space, such as node classification [10], [11], link prediction [12], [13], clustering [2], recommendation [14], [15], similarity search [16], and visualization [17]. // Using vector representation to represent complex networks has now been gradually advanced to many other domains, such as point-of-interest recommendation in urban computing [15], and knowledge graph search ==[18]== in knowledge engineering and database systems. // Challenges.	b	Network Representation Learning- A Survey	[18]	['[18]  Y. Lin, Z. Liu, M. Sun, Y. Liu, and X. Zhu, “Learning entity and relation embeddings for knowledge graph completion,” in Proceedings of the 29th AAAI Conference on Artificial Intelligence, 2015, pp. 2181–2187. ']
21	587	[19]	To learn informative vertex representations, network representation learning should preserve network structure, such that vertices similar/close to each other in the original structure space should also be represented similarly in the learned vector space. // However, as stated in ==[19]==, [20], the structure-level similarity between vertices is reflected not only at the local neighborhood structure but also at the more global community structure. // Therefore, the local and global structure should be simultaneously preserved in network representation learning.	b	Network Representation Learning- A Survey	[19]	['[19]  D. Wang, P. Cui, and W. Zhu, “Structural deep network embedding,” in Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, 2016, pp. 1225–1234. ']
22	587	[20]	To learn informative vertex representations, network representation learning should preserve network structure, such that vertices similar/close to each other in the original structure space should also be represented similarly in the learned vector space. // However, as stated in [19], ==[20]==, the structure-level similarity between vertices is reflected not only at the local neighborhood structure but also at the more global community structure. // Therefore, the local and global structure should be simultaneously preserved in network representation learning.	b	Network Representation Learning- A Survey	[20]	['[20]  D. Zhang, J. Yin, X. Zhu, and C. Zhang, “Homophily, structure, and content augmented network representation learning,” in Proceedings of the 16th IEEE International Conference on Data Mining, 2016, pp. 609–618. ']
23	587	[21]	A few graph embedding and representation learning related surveys exist in the recent literature. // The first is ==[21]==, which reviews a few representative methods for network representation learning and visits some key concepts aroundthe idea of representation learning and its connections to other related field such as dimensionality reduction, deep learning, and network science. // The other two surveys [22], [23] focus on reviewing graph embedding techniques aiming to preserve only network structure.	b	Network Representation Learning- A Survey	[21]	['[21]  L. G. Moyano, “Learning network representations,” The European Physical Journal Special Topics, vol. 226, no. 3, pp. 499–518, 2017. ']
24	587	[22]	The first is [21], which reviews a few representative methods for network representation learning and visits some key concepts aroundthe idea of representation learning and its connections to other related field such as dimensionality reduction, deep learning, and network science. // The other two surveys ==[22]==, [23] focus on reviewing graph embedding techniques aiming to preserve only network structure. // Recently, [24], [25] extend to cover work leveraging other side information, such as vertex attributes and/or vertex labels, to harness representation learning.	b	Network Representation Learning- A Survey	[22]	['[22]  P. Goyal and E. Ferrara, “Graph embedding techniques, applications, and performance: A survey,” Knowledge Based Systems, vol. 151, pp. 78–94, 2018. ']
25	587	[23]	The first is [21], which reviews a few representative methods for network representation learning and visits some key concepts aroundthe idea of representation learning and its connections to other related field such as dimensionality reduction, deep learning, and network science. // The other two surveys [22], ==[23]== focus on reviewing graph embedding techniques aiming to preserve only network structure. // Recently, [24], [25] extend to cover work leveraging other side information, such as vertex attributes and/or vertex labels, to harness representation learning.	b	Network Representation Learning- A Survey	[23]	['[23]  W. L. Hamilton, R. Ying, and J. Leskovec, “Representation learning on graphs: Methods and applications,” IEEE Data Engineering Bulletin, vol. 40, no. 3, pp. 52–74, 2017. ']
26	587	[24]	The other two surveys [22], [23] focus on reviewing graph embedding techniques aiming to preserve only network structure. // Recently, ==[24]==, [25] extend to cover work leveraging other side information, such as vertex attributes and/or vertex labels, to harness representation learning. // In summary, existing surveys have the following limitations.	b	Network Representation Learning- A Survey	[24]	['[24]  P. Cui, X. Wang, J. Pei, and W. Zhu, “A survey on network embedding,” IEEE Transactions on Knowledge and Data Engineering, 2018. ']
27	587	[25]	The other two surveys [22], [23] focus on reviewing graph embedding techniques aiming to preserve only network structure. // Recently, [24], ==[25]== extend to cover work leveraging other side information, such as vertex attributes and/or vertex labels, to harness representation learning. // In summary, existing surveys have the following limitations.	b	Network Representation Learning- A Survey	[25]	['[25]  H. Cai, V. W. Zheng, and K. C.-C. Chang, “A comprehensive survey of graph embedding: Problems, techniques and applications,” IEEE Transactions on Knowledge and Data Engineering, 2018. ']
28	587	[1]	Definition 2 (First-order Proximity). // The first-order proximity is the local pairwise proximity between two connected vertices ==[1]==. // For each vertex pair (vi , vj ), if (vi , vj ) ∈ E, the first-order proximity between vi and vj is wij ; otherwise, the first-order proximity between vi and vj is 0.	b	Network Representation Learning- A Survey	[1]	['[1]  J. Tang, M. Qu, M. Wang, M. Zhang, J. Yan, and Q. Mei, “LINE: Large-scale information network embedding,” in Proceedings of the 24th International Conference on World Wide Web, 2015, pp. 1067–1077. ']
29	587	[1]	Definition 3 (Second-order Proximity and High-order Proximity). // The second-order proximity captures the 2-step relations between each pair of vertices ==[1]==. // For each vertex pair (vi , vj ), the second order proximity is determined by the number of common neighbors shared by the two vertices, which can also be measured by the 2-step transition probability from vi to vj equivalently	b	Network Representation Learning- A Survey	[1]	['[1]  J. Tang, M. Qu, M. Wang, M. Zhang, J. Yan, and Q. Mei, “LINE: Large-scale information network embedding,” in Proceedings of the 24th International Conference on World Wide Web, 2015, pp. 1067–1077. ']
30	587	[26]	For each vertex pair (vi , vj ), the second order proximity is determined by the number of common neighbors shared by the two vertices, which can also be measured by the 2-step transition probability from vi to vj equivalently. // Compared with the second-order proximity, the highorder proximity ==[26]== captures more global structure, which explores k-step (k ≥ 3) relations between each pair of vertices. // For each vertex pair (vi , vj ), the higherorder proximity is measured by the k-step (k ≥ 3) transition probability from vertex vi to vertex vj , which can also be reflected by the number of k-step (k ≥ 3) paths from vi to vj .	b	Network Representation Learning- A Survey	[26]	['[26]  S. Cao, W. Lu, and Q. Xu, “GraRep: Learning graph representations with global structural information,” in Proceedings of the 24th ACM International Conference on Information and Knowledge Management, 2015, pp. 891–900. ']
31	587	[27]	The intracommunity proximity is the pairwise proximity between vertices in a same community. // Many networks have community structure, where vertex-vertex connections within the same community are dense, but connections to vertices outside the community are sparse ==[27]==. // As cluster structure, a community preserves certain kinds of common properties of vertices within it.	b	Network Representation Learning- A Survey	[27]	['[27]  M. Girvan and M. E. Newman, “Community structure in social and biological networks,” Proceedings of the National Academy of Sciences, vol. 99, no. 12, pp. 7821–7826, 2002. ']
32	587	[27]	The intracommunity proximity is the pairwise proximity between vertices in a same community. // Many networks have community structure, where vertex-vertex connections within the same community are dense, but connections to vertices outside the community are sparse ==[27]==. // As cluster structure, a community preserves certain kinds of common properties of vertices within it.	b	Network Representation Learning- A Survey	[27]	['[27]  M. Girvan and M. E. Newman, “Community structure in social and biological networks,” Proceedings of the National Academy of Sciences, vol. 99, no. 12, pp. 7821–7826, 2002. ']
33	587	[7]	In addition to network structure, vertex attributes can provide direct evidence to measure contentlevel similarity between vertices. // As shown in ==[7]==, [20], [29], vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations. // vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations.	ho	Network Representation Learning- A Survey	[7]	['[7]  C. Yang, Z. Liu, D. Zhao, M. Sun, and E. Y. Chang, “Network representation learning with rich text information,” in Proceedings of the 24th International Joint Conference on Artificial Intelligence, 2015, pp. 2111–2117. ']
34	587	[20]	In addition to network structure, vertex attributes can provide direct evidence to measure contentlevel similarity between vertices. // As shown in [7], ==[20]==, [29], vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations. // vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations.	ho	Network Representation Learning- A Survey	[20]	['[20]  D. Zhang, J. Yin, X. Zhu, and C. Zhang, “Homophily, structure, and content augmented network representation learning,” in Proceedings of the 16th IEEE International Conference on Data Mining, 2016, pp. 609–618. ']
35	587	[28]	In addition to network structure, vertex attributes can provide direct evidence to measure contentlevel similarity between vertices. // As shown in [7], [20], ==[29]==, vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations. // vertex attributes and network structure can help each other filter out noisy information and compensate each other to jointly learn informative vertex representations.	ho	Network Representation Learning- A Survey	[29]	['[29]  S. Wang, J. Tang, F. Morstatter, and H. Liu, “Paired restricted Boltzmann machine for linked data,” in Proceedings of the 25th ACM International Conference on Information and Knowledge Management, 2016, pp. 1753–1762. ']
36	587	[29]	Vertex labels provide direct information about the semantic categorization of each network vertex to certain classes or groups. // Vertex labels are strongly influenced by and inherently correlated to both network structure and vertex attributes ==[30]==. // Though vertex labels are usually partially observed, when coupled with network structure and vertex attributes, they encourage a network structure and vertex attribute consistent labeling, and help learn informative and discriminative vertex representations.	ho	Network Representation Learning- A Survey	[30]	['[30]  X. Huang, J. Li, and X. Hu, “Label informed attributed network embedding,” in Proceedings of the 10th ACM International Conference on Web Search and Data Mining, 2017, pp. 731–739. ']
37	587	[7]	In general, there are three main types of information sources: network structure, vertex attributes, and vertex labels. // Most of the unsupervised NRL algorithms focus on preserving network structure for learning vertex representations, and only a few algorithms (e.g., TADW ==[7]==, HSCA [8]) attempt to leverage vertex attributes. // By contrast, under the semi-supervised learning setting, half of the algorithms intend to couple vertex attributes with network structure and vertex labels to learn vertex representations.	b	Network Representation Learning- A Survey	[7]	['[7]  C. Yang, Z. Liu, D. Zhao, M. Sun, and E. Y. Chang, “Network representation learning with rich text information,” in Proceedings of the 24th International Joint Conference on Artificial Intelligence, 2015, pp. 2111–2117. ']
38	587	[8]	In general, there are three main types of information sources: network structure, vertex attributes, and vertex labels. // Most of the unsupervised NRL algorithms focus on preserving network structure for learning vertex representations, and only a few algorithms (e.g., TADW [7], HSCA ==[8]==) attempt to leverage vertex attributes. // By contrast, under the semi-supervised learning setting, half of the algorithms intend to couple vertex attributes with network structure and vertex labels to learn vertex representations.	b	Network Representation Learning- A Survey	[8]	['[8]  D. Zhang, J. Yin, X. Zhu, and C. Zhang, “Collective classification via discriminative matrix factorization on sparsely labeled networks,” in Proceedings of the 25th ACM International Conference on Information and Knowledge Management, 2016, pp. 1563–1572. ']
39	587	[30]	Most of the unsupervised NRL algorithms focus on preserving network structure for learning vertex representations, and only a few algorithms (e.g., TADW [7], HSCA [8]) attempt to leverage vertex attributes. // By contrast, under the semi-supervised learning setting, half of the algorithms intend to couple vertex attributes with network structure and vertex labels to learn vertex representations. On both settings, most of the algorithms focus on preserving microscopic structure, while very few algorithms (e.g., MNMF ==[28]==, DP [41], HARP [42]) attempt to take advantage of the mesoscopic and macroscopic structure. // Approaches to network representation learning in the above two different settings can be summarized into five categories from algorithmic perspectives.	b	Network Representation Learning- A Survey	[28]	['[28]  X. Wang, P. Cui, J. Wang, J. Pei, W. Zhu, and S. Yang, “Community preserving network embedding,” in Proceedings of the 31st AAAI Conference on Artificial Intelligence, 2017, pp. 203–209. ']
40	587	[31]	Most of the unsupervised NRL algorithms focus on preserving network structure for learning vertex representations, and only a few algorithms (e.g., TADW [7], HSCA [8]) attempt to leverage vertex attributes. // By contrast, under the semi-supervised learning setting, half of the algorithms intend to couple vertex attributes with network structure and vertex labels to learn vertex representations. On both settings, most of the algorithms focus on preserving microscopic structure, while very few algorithms (e.g., MNMF [28], DP ==[41]==, HARP [42]) attempt to take advantage of the mesoscopic and macroscopic structure. // Approaches to network representation learning in the above two different settings can be summarized into five categories from algorithmic perspectives.	b	Network Representation Learning- A Survey	[41]	['[41]  R. Feng, Y. Yang, W. Hu, F. Wu, and Y. Zhuang, “Representation learning for scale-free networks,” in Proceedings of the 32nd AAAI Conference on Artificial Intelligence, 2018, pp. 282–289. ']
41	587	[32]	Most of the unsupervised NRL algorithms focus on preserving network structure for learning vertex representations, and only a few algorithms (e.g., TADW [7], HSCA [8]) attempt to leverage vertex attributes. // By contrast, under the semi-supervised learning setting, half of the algorithms intend to couple vertex attributes with network structure and vertex labels to learn vertex representations. On both settings, most of the algorithms focus on preserving microscopic structure, while very few algorithms (e.g., MNMF [28], DP [41], HARP ==[42]==) attempt to take advantage of the mesoscopic and macroscopic structure. // Approaches to network representation learning in the above two different settings can be summarized into five categories from algorithmic perspectives.	b	Network Representation Learning- A Survey	[42]	['[42]  H. Chen, B. Perozzi, Y. Hu, and S. Skiena, “HARP: Hierarchical representation learning for networks,” in Proceedings of the 32nd AAAI Conference on Artificial Intelligence, 2018, pp. 2127–2134. ']
42	587	[7]	Matrix factorization based methods represent the connections between network vertices in the form of a matrix and use matrix factorization to obtain the embeddings. // Different types of matrices are constructed to preserve network structure, such as the k-step transition probability matrix, the modularity matrix, or the vertex-context matrix ==[7]==. // By assuming that such high-dimensional vertex representations are only affected by a small quantity of latent factors, matrix factorization is used to embed the highdimensional vertex representations into a latent, low-dimensional structure preserving space.	b	Network Representation Learning- A Survey	[7]	['[7]  C. Yang, Z. Liu, D. Zhao, M. Sun, and E. Y. Chang, “Network representation learning with rich text information,” in Proceedings of the 24th International Joint Conference on Artificial Intelligence, 2015, pp. 2111–2117. ']
43	587	[33]	Factorization strategies vary across different algorithms according to their objectives. // For example, in the Modularity Maximization method ==[31]==, eigen decomposition is performed on the modularity matrix to learn community indicative vertex representations; in the TADW algorithm [7], inductive matrix factorization [54] is carried out on the vertexcontext matrix to simultaneously preserve vertex textual features and network structure in the learning of vertex representations. // Although matrix factorization based methods have been proved effective in learning informative vertex representations, the scalability is a major bottleneck because carrying out factorization on a matrix with millions of rows and columns is memory intensive and computationally expensive or, sometime, even infeasible.	h-	Network Representation Learning- A Survey	[31]	['[31]  L. Tang and H. Liu, “Relational learning via latent social dimensions,” in Proceedings of the 15th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, 2009, pp. 817– 826. ']
44	587	[7]	Factorization strategies vary across different algorithms according to their objectives. // For example, in the Modularity Maximization method [31], eigen decomposition is performed on the modularity matrix to learn community indicative vertex representations; in the TADW algorithm ==[7]==, inductive matrix factorization [54] is carried out on the vertexcontext matrix to simultaneously preserve vertex textual features and network structure in the learning of vertex representations. // Although matrix factorization based methods have been proved effective in learning informative vertex representations, the scalability is a major bottleneck because carrying out factorization on a matrix with millions of rows and columns is memory intensive and computationally expensive or, sometime, even infeasible.	h-	Network Representation Learning- A Survey	[7]	['[7]  C. Yang, Z. Liu, D. Zhao, M. Sun, and E. Y. Chang, “Network representation learning with rich text information,” in Proceedings of the 24th International Joint Conference on Artificial Intelligence, 2015, pp. 2111–2117. ']
45	587	[34]	Factorization strategies vary across different algorithms according to their objectives. // For example, in the Modularity Maximization method [31], eigen decomposition is performed on the modularity matrix to learn community indicative vertex representations; in the TADW algorithm [7], inductive matrix factorization ==[54]== is carried out on the vertexcontext matrix to simultaneously preserve vertex textual features and network structure in the learning of vertex representations. // Although matrix factorization based methods have been proved effective in learning informative vertex representations, the scalability is a major bottleneck because carrying out factorization on a matrix with millions of rows and columns is memory intensive and computationally expensive or, sometime, even infeasible.	h-	Network Representation Learning- A Survey	[54]	['[54]  N. Natarajan and I. S. Dhillon, “Inductive matrix completion for predicting gene–disease associations,” Bioinformatics, vol. 30, no. 12, pp. i60–i68, 2014. ']
46	587	[35]	By performing truncated random walks, an information network is transformed into a collection of vertex sequences, in which, the occurrence frequency of a vertex-context pair measures the structural distance between them. // Borrowing the idea of word representation learning ==[55]==, [56], vertex representations are then learned by using each vertex to predict its contexts. // DeepWalk [6] is the pioneer work in using random walks to learn vertex representations.	b	Network Representation Learning- A Survey	[55]	['[55]  T. Mikolov, K. Chen, G. Corrado, and J. Dean, “Efficient estimation of word representations in vector space,” arXiv preprint arXiv:1301.3781, 2013. ']
